Functions,Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound
decode_mcu,1.9,1.2,-0.5,0.7,0.2,0.1,-4.2,0.0,0.0,0.0,0.0,-1.6
jpeg_idct_islow,3.9,1.0,0.8,0.7,0.1,0.0,-3.8,-0.1,0.0,-0.1,0.3,-5.5
ImagingResampleHorizontal_8bpc,-7.1,0.0,1.1,0.9,0.0,0.0,-2.6,-0.4,0.0,0.0,-0.1,4.2
ycc_rgb_convert,7.6,1.2,-0.5,1.0,0.0,0.0,-3.5,0.0,-0.3,0.0,0.4,-5.1
ImagingResampleVertical_8bpc,-5.6,0.6,0.0,1.7,0.0,-0.1,-3.0,0.8,0.0,0.0,0.2,4.6
jpeg_fill_bit_buffer,0.9,0.2,-0.2,2.0,0.0,-0.1,-3.5,0.0,0.0,0.0,0.1,-0.6
__memmove_avx_unaligned_erms,-1.4,0.0,0.0,1.3,-1.6,-5.1,-7.5,38.3,0.0,0.0,2.6,-2.2
jpeg_idct_16x16,3.5,1.3,2.7,0.8,0.0,0.0,-4.2,0.0,0.0,0.0,0.3,-7.3
AVX2::direct_copy_kernel(float),1.0,1.4,-0.7,1.1,-0.9,0.2,1.8,0.0,0.0,0.0,-1.0,-0.5
AVX2::div_true_kernel(float),-1.5,0.5,-0.1,-2.5,-2.0,0.9,-10.6,0.7,0.0,0.0,1.4,-2.1
decompress_onepass,7.3,3.0,3.4,0.9,0.3,0.4,-3.0,0.5,0.0,0.0,0.4,-11.5
ImagingUnpackRGB,6.8,0.1,-1.1,1.3,-0.2,-0.2,-3.6,0.0,0.0,0.0,1.7,-4.3
